belongs_to_collection,budget,popularity,release_date,runtime,revenue,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,prod_country_Algeria,prod_country_Angola,prod_country_Argentina,prod_country_Australia,prod_country_Austria,prod_country_Bahamas,prod_country_Belgium,prod_country_Bolivia,prod_country_Bosnia and Herzegovina,prod_country_Botswana,prod_country_Brazil,prod_country_Bulgaria,prod_country_Burkina Faso,prod_country_Cambodia,prod_country_Cameroon,prod_country_Canada,prod_country_Chile,prod_country_China,prod_country_Colombia,prod_country_Costa Rica,prod_country_Croatia,prod_country_Czech Republic,prod_country_Denmark,prod_country_Dominican Republic,prod_country_Ecuador,prod_country_Ethiopia,prod_country_Finland,prod_country_France,prod_country_Georgia,prod_country_Germany,prod_country_Ghana,prod_country_Greece,prod_country_Hong Kong,prod_country_Hungary,prod_country_Iceland,prod_country_India,prod_country_Indonesia,prod_country_Iran,prod_country_Ireland,prod_country_Israel,prod_country_Italy,prod_country_Jamaica,prod_country_Japan,prod_country_Jordan,prod_country_Kazakhstan,prod_country_Liechtenstein,prod_country_Lithuania,prod_country_Luxembourg,prod_country_Macedonia,prod_country_Malaysia,prod_country_Mali,prod_country_Malta,prod_country_Mauritania,prod_country_Mexico,prod_country_Monaco,prod_country_Morocco,prod_country_Namibia,prod_country_Netherlands,prod_country_New Zealand,prod_country_Norway,prod_country_Pakistan,prod_country_Palestinian Territory,prod_country_Paraguay,prod_country_Peru,prod_country_Philippines,prod_country_Poland,prod_country_Portugal,prod_country_Puerto Rico,prod_country_Qatar,prod_country_Romania,prod_country_Russia,prod_country_Saudi Arabia,prod_country_Senegal,prod_country_Serbia,prod_country_Serbia and Montenegro,prod_country_Singapore,prod_country_Slovenia,prod_country_South Africa,prod_country_South Korea,prod_country_Spain,prod_country_Sweden,prod_country_Switzerland,prod_country_Taiwan,prod_country_Thailand,prod_country_Tunisia,prod_country_Turkey,prod_country_Ukraine,prod_country_United Arab Emirates,prod_country_United Kingdom,prod_country_United States of America,prod_country_Uruguay,prod_country_Venezuela,spoken_lang_af,spoken_lang_am,spoken_lang_ar,spoken_lang_as,spoken_lang_bg,spoken_lang_bm,spoken_lang_bn,spoken_lang_bo,spoken_lang_br,spoken_lang_bs,spoken_lang_ca,spoken_lang_ce,spoken_lang_cn,spoken_lang_cs,spoken_lang_cy,spoken_lang_da,spoken_lang_de,spoken_lang_el,spoken_lang_en,spoken_lang_eo,spoken_lang_es,spoken_lang_et,spoken_lang_eu,spoken_lang_fa,spoken_lang_fi,spoken_lang_fr,spoken_lang_ga,spoken_lang_gd,spoken_lang_gl,spoken_lang_gn,spoken_lang_gu,spoken_lang_he,spoken_lang_hi,spoken_lang_hr,spoken_lang_hu,spoken_lang_hy,spoken_lang_id,spoken_lang_is,spoken_lang_it,spoken_lang_iu,spoken_lang_ja,spoken_lang_jv,spoken_lang_ka,spoken_lang_kk,spoken_lang_km,spoken_lang_kn,spoken_lang_ko,spoken_lang_kw,spoken_lang_la,spoken_lang_ln,spoken_lang_lo,spoken_lang_mi,spoken_lang_mk,spoken_lang_ml,spoken_lang_mn,spoken_lang_mr,spoken_lang_ms,spoken_lang_mt,spoken_lang_my,spoken_lang_ne,spoken_lang_nl,spoken_lang_no,spoken_lang_nv,spoken_lang_ny,spoken_lang_pa,spoken_lang_pl,spoken_lang_ps,spoken_lang_pt,spoken_lang_qu,spoken_lang_ro,spoken_lang_ru,spoken_lang_sa,spoken_lang_sh,spoken_lang_si,spoken_lang_sk,spoken_lang_so,spoken_lang_sq,spoken_lang_sr,spoken_lang_st,spoken_lang_sv,spoken_lang_sw,spoken_lang_ta,spoken_lang_te,spoken_lang_th,spoken_lang_tl,spoken_lang_to,spoken_lang_tr,spoken_lang_ty,spoken_lang_uk,spoken_lang_ur,spoken_lang_vi,spoken_lang_wo,spoken_lang_xh,spoken_lang_xx,spoken_lang_yi,spoken_lang_zh,spoken_lang_zu,length_of_title
1,14000000,6.575393,1424408400,93.0,12314651.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1,40000000,8.248895,1091764800,113.0,95149435.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0,3300000,64.29999,1412913600,105.0,13092000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1,0,6.902423,824446800,100.0,34327391.0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
0,6000000,4.672036,1050465600,91.0,18750246.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1,1000000,14.774066,217400400,119.0,117235147.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,10.54375,552888000,98.0,22642033.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
0,15000000,20.726578,937368000,122.0,356296601.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1,53000000,13.314233,1109912400,118.0,95226116.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,102000000,20.666063,1024545600,145.0,358372926.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
